location,iso_code,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,population
CountryA,COU,2021-01-01,85744,85744,1857,1857,0,182924028
CountryA,COU,2021-01-02,86402,658,1871,14,178,35202749
CountryA,COU,2021-01-03,87065,663,1885,14,356,95197821
CountryA,COU,2021-01-04,87733,668,1900,14,534,186230371
CountryA,COU,2021-01-05,88407,673,1914,14,712,54070818
CountryA,COU,2021-01-06,89085,678,1929,14,890,68664407
CountryA,COU,2021-01-07,89769,683,1944,14,1068,4173091
CountryA,COU,2021-01-08,90458,689,1959,14,1246,31000155
CountryA,COU,2021-01-09,91152,694,1974,15,1424,12244704
CountryA,COU,2021-01-10,91852,699,1989,15,1602,36735773
CountryA,COU,2021-01-11,92557,705,2004,15,1780,14208140
CountryA,COU,2021-01-12,93267,710,2020,15,1958,79722156
CountryA,COU,2021-01-13,93983,715,2035,15,2136,121224567
CountryA,COU,2021-01-14,94705,721,2051,15,2314,147137528
CountryA,COU,2021-01-15,95432,726,2066,15,2492,182958834
CountryA,COU,2021-01-16,96164,732,2082,15,2670,142594685
CountryA,COU,2021-01-17,96902,738,2098,15,2848,165835255
CountryA,COU,2021-01-18,97646,743,2114,16,3026,185113687
CountryA,COU,2021-01-19,98395,749,2131,16,3204,151691553
CountryA,COU,2021-01-20,99151,755,2147,16,3382,106393801
CountryA,COU,2021-01-21,99912,761,2163,16,3560,166449084
CountryA,COU,2021-01-22,100679,766,2180,16,3738,78946954
CountryA,COU,2021-01-23,101451,772,2197,16,3916,116937994
CountryA,COU,2021-01-24,102230,778,2214,16,4094,189100078
CountryA,COU,2021-01-25,103015,784,2231,16,4272,141405523
CountryA,COU,2021-01-26,103805,790,2248,17,4450,114645311
CountryA,COU,2021-01-27,104602,796,2265,17,4628,69964624
CountryA,COU,2021-01-28,105405,802,2282,17,4806,27572149
CountryA,COU,2021-01-29,106214,809,2300,17,4984,126406374
CountryA,COU,2021-01-30,107029,815,2318,17,5162,93322260
CountryA,COU,2021-01-31,107851,821,2335,17,5340,41271710
CountryA,COU,2021-02-01,108679,827,2353,17,5518,18038545
CountryA,COU,2021-02-02,109513,834,2371,18,5696,19480713
CountryA,COU,2021-02-03,110354,840,2390,18,5874,62506285
CountryA,COU,2021-02-04,111201,847,2408,18,6052,37727815
CountryA,COU,2021-02-05,112054,853,2426,18,6230,172741673
CountryA,COU,2021-02-06,112914,860,2445,18,6408,39815974
CountryA,COU,2021-02-07,113781,866,2464,18,6586,34143539
CountryA,COU,2021-02-08,114654,873,2483,18,6764,31357773
CountryA,COU,2021-02-09,115534,880,2502,19,6942,68387014
CountryA,COU,2021-02-10,116421,886,2521,19,7120,4767799
CountryA,COU,2021-02-11,117315,893,2540,19,7298,99743658
CountryA,COU,2021-02-12,118215,900,2560,19,7476,8806728
CountryA,COU,2021-02-13,119123,907,2579,19,7654,133860685
CountryA,COU,2021-02-14,120037,914,2599,19,7832,47559235
CountryA,COU,2021-02-15,120958,921,2619,19,8010,88794016
CountryA,COU,2021-02-16,121887,928,2639,20,8188,86933537
CountryA,COU,2021-02-17,122822,935,2660,20,8366,55211684
CountryA,COU,2021-02-18,123765,942,2680,20,8544,3796709
CountryA,COU,2021-02-19,124715,949,2701,20,8722,50793301
CountryA,COU,2021-02-20,125672,957,2721,20,8900,8067335
CountryA,COU,2021-02-21,126637,964,2742,20,9078,101300777
CountryA,COU,2021-02-22,127609,972,2763,21,9256,146130489
CountryA,COU,2021-02-23,128588,979,2784,21,9434,133055576
CountryA,COU,2021-02-24,129575,986,2806,21,9612,60639416
CountryA,COU,2021-02-25,130570,994,2827,21,9790,108037840
CountryA,COU,2021-02-26,131572,1002,2849,21,9968,149060103
CountryA,COU,2021-02-27,132582,1009,2871,21,10146,197157167
CountryA,COU,2021-02-28,133600,1017,2893,22,10324,44967789
CountryA,COU,2021-03-01,134625,1025,2915,22,10502,66376284
CountryA,COU,2021-03-02,135658,1033,2938,22,10680,174966383
CountryA,COU,2021-03-03,136700,1041,2960,22,10858,171319268
CountryA,COU,2021-03-04,137749,1049,2983,22,11036,29528828
CountryA,COU,2021-03-05,138806,1057,3006,22,11214,145591399
CountryA,COU,2021-03-06,139872,1065,3029,23,11392,176362300
CountryA,COU,2021-03-07,140945,1073,3052,23,11570,104066646
CountryA,COU,2021-03-08,142027,1081,3076,23,11748,114296456
CountryA,COU,2021-03-09,143117,1090,3099,23,11926,191380537
CountryA,COU,2021-03-10,144216,1098,3123,23,12104,159997094
CountryA,COU,2021-03-11,145323,1106,3147,23,12282,193000267
CountryA,COU,2021-03-12,146438,1115,3171,24,12460,50866060
CountryA,COU,2021-03-13,147562,1124,3195,24,12638,53870003
CountryA,COU,2021-03-14,148695,1132,3220,24,12816,68769429
CountryA,COU,2021-03-15,149836,1141,3245,24,12994,45770425
CountryA,COU,2021-03-16,150986,1150,3270,24,13172,144853606
CountryA,COU,2021-03-17,152145,1158,3295,25,13350,19835089
CountryA,COU,2021-03-18,153313,1167,3320,25,13528,117984371
CountryA,COU,2021-03-19,154490,1176,3345,25,13706,88222213
CountryA,COU,2021-03-20,155676,1185,3371,25,13884,134196647
CountryA,COU,2021-03-21,156871,1194,3397,25,14062,145020882
CountryA,COU,2021-03-22,158075,1204,3423,26,14240,163057309
CountryA,COU,2021-03-23,159288,1213,3449,26,14418,85272761
CountryA,COU,2021-03-24,160511,1222,3476,26,14596,106114765
CountryA,COU,2021-03-25,161743,1232,3503,26,14774,190541670
CountryA,COU,2021-03-26,162984,1241,3529,26,14952,159422566
CountryA,COU,2021-03-27,164235,1251,3557,27,15130,89598399
CountryA,COU,2021-03-28,165496,1260,3584,27,15308,150284918
CountryA,COU,2021-03-29,166766,1270,3611,27,15486,188165356
CountryA,COU,2021-03-30,168046,1280,3639,27,15664,20692883
CountryA,COU,2021-03-31,169336,1289,3667,27,15842,150904091
CountryA,COU,2021-04-01,170636,1299,3695,28,16020,30188658
CountryA,COU,2021-04-02,171945,1309,3724,28,16198,154357872
CountryA,COU,2021-04-03,173265,1319,3752,28,16376,164006845
CountryA,COU,2021-04-04,174595,1329,3781,28,16554,106983700
CountryA,COU,2021-04-05,175935,1340,3810,29,16732,53367171
CountryA,COU,2021-04-06,177286,1350,3839,29,16910,177072358
CountryA,COU,2021-04-07,178646,1360,3869,29,17088,105443067
CountryA,COU,2021-04-08,180018,1371,3898,29,17266,30078723
CountryA,COU,2021-04-09,181399,1381,3928,29,17444,140323908
CountryA,COU,2021-04-10,182792,1392,3958,30,17622,157716028
CountryA,COU,2021-04-11,184195,1403,3989,30,17801,37996539
CountryA,COU,2021-04-12,185609,1413,4019,30,17979,199746202
CountryA,COU,2021-04-13,187033,1424,4050,30,18157,46616486
CountryA,COU,2021-04-14,188469,1435,4081,31,18335,45409364
CountryA,COU,2021-04-15,189915,1446,4113,31,18513,152815092
CountryA,COU,2021-04-16,191373,1457,4144,31,18691,185392289
CountryA,COU,2021-04-17,192842,1468,4176,31,18869,185512461
CountryA,COU,2021-04-18,194322,1480,4208,32,19047,42623712
CountryA,COU,2021-04-19,195814,1491,4240,32,19225,4458757
CountryA,COU,2021-04-20,197317,1502,4273,32,19403,195446606
CountryA,COU,2021-04-21,198831,1514,4306,32,19581,48952657
CountryA,COU,2021-04-22,200357,1526,4339,33,19759,116443510
CountryA,COU,2021-04-23,201895,1537,4372,33,19937,126949509
CountryA,COU,2021-04-24,203445,1549,4406,33,20115,130301130
CountryA,COU,2021-04-25,205007,1561,4440,33,20293,135732841
CountryA,COU,2021-04-26,206580,1573,4474,34,20471,49739145
CountryA,COU,2021-04-27,208166,1585,4508,34,20649,100332087
CountryA,COU,2021-04-28,209764,1597,4543,34,20827,10028917
CountryA,COU,2021-04-29,211374,1610,4577,34,21005,14286564
CountryA,COU,2021-04-30,212996,1622,4613,35,21183,199019731
CountryA,COU,2021-05-01,214631,1634,4648,35,21361,129250376
CountryA,COU,2021-05-02,216278,1647,4684,35,21539,59354100
CountryA,COU,2021-05-03,217938,1660,4720,35,21717,166640141
CountryA,COU,2021-05-04,219611,1672,4756,36,21895,197020584
CountryA,COU,2021-05-05,221297,1685,4792,36,22073,153250672
CountryA,COU,2021-05-06,222995,1698,4829,36,22251,81881263
CountryA,COU,2021-05-07,224707,1711,4866,37,22429,7835829
CountryA,COU,2021-05-08,226432,1724,4904,37,22607,167106784
CountryA,COU,2021-05-09,228170,1738,4941,37,22785,152553447
CountryA,COU,2021-05-10,229921,1751,4979,37,22963,151260522
CountryA,COU,2021-05-11,231686,1764,5017,38,23141,93700974
CountryA,COU,2021-05-12,233464,1778,5056,38,23319,37457475
CountryA,COU,2021-05-13,235256,1791,5095,38,23497,119432494
CountryA,COU,2021-05-14,237062,1805,5134,39,23675,140188135
CountryA,COU,2021-05-15,238882,1819,5173,39,23853,144085541
CountryA,COU,2021-05-16,240715,1833,5213,39,24031,18467707
CountryA,COU,2021-05-17,242563,1847,5253,40,24209,191913665
CountryA,COU,2021-05-18,244425,1861,5293,40,24387,6885245
CountryA,COU,2021-05-19,246301,1876,5334,40,24565,21289654
CountryA,COU,2021-05-20,248191,1890,5375,40,24743,186203579
CountryA,COU,2021-05-21,250096,1905,5416,41,24921,164961403
CountryA,COU,2021-05-22,252016,1919,5458,41,25099,44393120
CountryA,COU,2021-05-23,253950,1934,5500,41,25277,39036221
CountryA,COU,2021-05-24,255900,1949,5542,42,25455,59553550
CountryA,COU,2021-05-25,257864,1964,5584,42,25633,57417475
CountryA,COU,2021-05-26,259843,1979,5627,42,25811,137604999
CountryA,COU,2021-05-27,261837,1994,5670,43,25989,73188420
CountryA,COU,2021-05-28,263847,2009,5714,43,26167,48424527
CountryA,COU,2021-05-29,265872,2025,5758,43,26345,132516114
CountryA,COU,2021-05-30,267913,2040,5802,44,26523,157212708
CountryA,COU,2021-05-31,269970,2056,5847,44,26701,186772627
CountryA,COU,2021-06-01,272042,2072,5891,44,26879,14215070
CountryA,COU,2021-06-02,274130,2088,5937,45,27057,52125418
CountryA,COU,2021-06-03,276234,2104,5982,45,27235,192664898
CountryA,COU,2021-06-04,278354,2120,6028,45,27413,145844861
CountryA,COU,2021-06-05,280491,2136,6074,46,27591,78316754
CountryA,COU,2021-06-06,282644,2152,6121,46,27769,175269019
CountryA,COU,2021-06-07,284813,2169,6168,46,27947,153598184
CountryA,COU,2021-06-08,286999,2186,6215,47,28125,199920576
CountryA,COU,2021-06-09,289202,2202,6263,47,28303,150753094
CountryA,COU,2021-06-10,291422,2219,6311,48,28481,54995860
CountryA,COU,2021-06-11,293659,2236,6360,48,28659,120399331
CountryA,COU,2021-06-12,295913,2254,6408,48,28837,44530078
CountryA,COU,2021-06-13,298184,2271,6458,49,29015,135222304
